類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2,download_timestamp,process_timestamp
法說會,台股,敦陽科(2480) 2026 Q1 法說會,2026-05-06,2026-05-06,敦陽科（2480）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Arm Holdings plc(ARM) 2026 Q1 財報,2026-05-06,2026-05-06,Arm Holdings plc 發布季度財報,https://finance.yahoo.com/quote/ARM/financials/,https://finance.yahoo.com/calendar/earnings?symbol=ARM,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Western Digital(WDC) 2026 Q1 財報,2026-05-06,2026-05-06,Western Digital 發布季度財報,https://finance.yahoo.com/quote/WDC/financials/,https://finance.yahoo.com/calendar/earnings?symbol=WDC,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,富邦媒(8454) 2026 Q1 財報,2026-05-06,2026-05-06,富邦媒 發布季度財報,https://finance.yahoo.com/quote/8454.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=8454.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Advanced Micro Devices(AMD) 2026 Q1 財報,2026-05-05,2026-05-05,Advanced Micro Devices 發布季度財報,https://finance.yahoo.com/quote/AMD/financials/,https://finance.yahoo.com/calendar/earnings?symbol=AMD,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,聯詠(3034) 2026 Q1 財報,2026-05-05,2026-05-05,聯詠 發布季度財報,https://finance.yahoo.com/quote/3034.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=3034.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Amazon.com Inc.(AMZN) 2026 Q1 財報,2026-04-30,2026-04-30,Amazon.com Inc. 發布季度財報,https://finance.yahoo.com/quote/AMZN/financials/,https://finance.yahoo.com/calendar/earnings?symbol=AMZN,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Apple Inc.(AAPL) 2026 Q1 財報,2026-04-30,2026-04-30,Apple Inc. 發布季度財報,https://finance.yahoo.com/quote/AAPL/financials/,https://finance.yahoo.com/calendar/earnings?symbol=AAPL,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,瑞昱(2379) 2026 Q1 財報,2026-04-30,2026-04-30,瑞昱 發布季度財報,https://finance.yahoo.com/quote/2379.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2379.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,致茂(2360) 2026 Q1 財報,2026-04-30,2026-04-30,致茂 發布季度財報,https://finance.yahoo.com/quote/2360.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2360.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
